species common name,species latin name,family,system,location,sample size,,%,conservation designation,secondary conservation,Red list category,trophic guild,migratory status,fish size [mm],life stage,journal,journal IF,study,
walleye,Sander vitreus,Percidae,freshwater,Canada,25,10,40,N,,LC,piscivory,resident,524.8,adult,Limnology and Oceanograpy,,Brooks et al. 2022,
smallmouth bass,Micropterus dolomieu,Centrarchidae,freshwater,Canada,68,,,N,,LC,piscivory,resident,276,adult,Environmental Pollution,8.9,van der Knaap et al. 2022,
rock bass,Ambloplites rupestris,Centrarchidae,freshwater,Canada,43,,,N,,LC,piscivory; invertivory,resident,183,adult,Environmental Pollution,8.9,van der Knaap et al. 2022,
largemouth bass,Micropterus salmonides,Centrarchidae,freshwater,Canada,7,,,N,,LC,piscivory,resident,355,adult,Environmental Pollution,8.9,van der Knaap et al. 2022,
white sucker,Catastomus commersoni,Catostomidae,freshwater,Canada,6,,,N,,LC,filter feeder; inventivory,resident,421,adult,Environmental Pollution,8.9,van der Knaap et al. 2022,
channel catfish,Ictalurus punctatus,Ictaluridae,freshwater,Canada,6,,,N,,LC,piscivory; invertivory,resident,312,adult,Environmental Pollution,8.9,van der Knaap et al. 2022,
nothern pike,Esox lucius,Esocidae,freshwater,Canada,4,,,N,,LC,piscivory,resident,594,adult,Environmental Pollution,8.9,van der Knaap et al. 2022,
walleye,Sander vitreus,Percidae,freshwater,Canada,3,,,N,,LC,piscivory,resident,306,adult,Environmental Pollution,8.9,van der Knaap et al. 2022,
round goby,Neogobius melanostomus,Gobiidae,freshwater,Canada,45,43,96,N,,,invertivory,resident,76.81,adult,Biological Invasions,3.1,Bergman et al. 2022,
atlantic salmon,Salmo salar,Salmonidae,freshwater,Canada,14,8,57,N,,LC,piscivory; invertivory,anadromous,,,Journal of Great Lakes Research,2.2,Larocque et al. 2022,
walleye,Sander vitreus,Percidae,freshwater,Canada,88,52,59,N,,LC,piscivory,resident,652,adult,Journal of Great Lakes Research,2.2,Elliot et al. 2022,
channel catfish,Ictalurus punctatus,Ictaluridae,freshwater,Canada,161,120,75,N,,LC,piscivory; invertivory,resident,705,adult,Canadian Journal of Fisheries and Aquatic Sciences,2.5,Hansen et al. 2022,
Arctic char,Salvelinus alpinus,Salmonidae,marine,Canada,110,,,N,,LC,piscivory; invertivory,anadromous,676,,Marine Ecology Progress Series,2.6,Hammer et al. 2022,
Greenland shark,Somniosus microcephalus,Somniosidae,marine,Canada,65,,,Y,,VU,piscivory,resident,2480,adult; juveniles,Canadian Journal of Fisheries and Aquatic Sciences,2.5,Edwards et al. 2022,
Pacific herring,Culpea pallasi,Culpeidae,marine,Canada,326,,,Y,,DD,invertivory,resident,,adult,Movement Ecology,2.5,Bishop & Bernard 2021,
atlantic salmon,Salmo salar,Salmonidae,freshwater,Canada,119,88,74,N,,LC,piscivory; invertivory,anadromous,153,juvenile,Animal Biotelemetry,2.7,Daniesl et al. 2021,
lake trout,Salvelinus namaycush,Salmonidae,freshwater,Canada,9,,,N,,NE,piscivory; invertivory,resident,,,Ecology and Evolution,2.6,Versteeg et al. 2021,
pike ,Esox lucius,Esocidae,freshwater,Canada,15,6,40,N,,LC,piscivory,resident,766,adult,North American Journal of Fisheries Management,1.1,Somers et al. 2021,
lake trout,Salvelinus namaycush,Salmonidae,freshwater,Canada,20,19,95,N,,NE,piscivory; invertivory,resident,785,adult,Journal of Great Lakes Research,2.2,Gatch et al. 2021,
lake trout,Salvelinus namaycush,Salmonidae,freshwater,Canada,30,24,80,N,,NE,piscivory; invertivory,resident,766,adult,Freshwater Biology,3.5,Ivanova et al. 2021,
atlantic salmon,Salmo salar,Salmonidae,freshwater,Canada,15,10,67,N,,LC,piscivory; invertivory,anadromous,755,adult,Frontiers in Animal Science,6.762,Stocwell et al. 2021,
lake trout,Salvelinus namaycush,Salmonidae,freshwater,Canada,50,42,84,N,,NE,piscivory; invertivory,resident,771,,Canadian Journal of Fisheries and Aquatic Sciences,2.5,Ivanova et al. 2021,
lake trout,Salvelinus namaycush,Salmonidae,freshwater,Canada,135,131,97,N,,NE,piscivory; invertivory,resident,,,Canadian Journal of Fisheries and Aquatic Sciences,2.5,Hubbard et al. 2021,
bloater,Coregonus hoyi,Salmonidae,freshwater,Canada,48,25,52,,,VU,invertivory,resident,191.6,,Journal of Fish Biology,2,Klinard et al. 2021,
atlantic salmon,Salmo salar,Salmonidae,freshwater,Canada,20,5,25,N,,LC,piscivory; invertivory,anadromous,,,Journal of Fish Biology,2,Klinard et al. 2021,
brown trout,Salmo trutta,Salmonidae,freshwater,Canada,18,16,89,N,,LC,piscivory; invertivory,anadromous,,,Journal of Fish Biology,2,Klinard et al. 2021,
Chinook salmon,Oncorhynchus tshawytscha,Salmonidae,freshwater,Canada,31,20,65,Y,,NE,piscivory; invertivory,anadromous,,,Journal of Fish Biology,2,Klinard et al. 2021,
Coho salmon,Oncorhynchus kisutch,Salmonidae,freshwater,Canada,16,13,81,,,NE,invertivory,anadromous,,,Journal of Fish Biology,2,Klinard et al. 2021,
rainbow trout,Oncorhynchus mykiss,Salmonidae,freshwater,Canada,17,12,71,N,,NE,piscivory; invertivory,anadromous,,,Journal of Fish Biology,2,Klinard et al. 2021,
lake trout,Salvelinus namaycush,Salmonidae,freshwater,Canada,55,50,91,N,,NE,piscivory; invertivory,resident,,,Journal of Fish Biology,2,Klinard et al. 2021,
